"No.","Time","Source","Destination","Protocol","Length","Info"
"1","2023-03-21 23:00:33,016671","aa:95:bf:79:9c:d3","Broadcast","802.11","275","Beacon frame, SN=2360, FN=0, Flags=........, BI=100, SSID=""Zflip3 de junior"""
"2","2023-03-21 23:00:33,071452","Raspberr_34:36:32","Broadcast","802.11","210","Probe Request, SN=34, FN=0, Flags=........, SSID=Wildcard (Broadcast)"
"3","2023-03-21 23:00:33,079774","Raspberr_34:36:32","Broadcast","802.11","210","Probe Request, SN=35, FN=0, Flags=........, SSID=Wildcard (Broadcast)"
"4","2023-03-21 23:00:33,122934","Raspberr_34:36:32","Broadcast","802.11","210","Probe Request, SN=37, FN=0, Flags=........, SSID=Wildcard (Broadcast)"
"5","2023-03-21 23:00:33,145914","Raspberr_34:36:32","Broadcast","802.11","210","Probe Request, SN=38, FN=0, Flags=........, SSID=Wildcard (Broadcast)"
"6","2023-03-21 23:00:33,166700","Raspberr_34:36:32","Broadcast","802.11","210","Probe Request, SN=39, FN=0, Flags=........, SSID=Wildcard (Broadcast)"
"7","2023-03-21 23:00:33,190056","Raspberr_34:36:32","Broadcast","802.11","210","Probe Request, SN=40, FN=0, Flags=........, SSID=Wildcard (Broadcast)"
"8","2023-03-21 23:00:33,208959","Raspberr_34:36:32","Broadcast","802.11","88","Probe Request, SN=41, FN=0, Flags=........, SSID=Wildcard (Broadcast)[Malformed Packet: length of contained item exceeds length of containing item]"
"9","2023-03-21 23:00:33,504132","ASUSTekC_a4:b8:01","Broadcast","802.11","192","Beacon frame, SN=1497, FN=0, Flags=........, BI=100, SSID=""Sous-Station 001"""
"10","2023-03-21 23:00:35,474505","85:a2:60:53:0e:e4","85:a2:60:53:0e:e4 (85:a2:60:53:0e:e4) (SA)","802.11","1611","PV1 Extension (currently reserved)"
"11","2023-03-21 23:00:36,993483","24:c9:45:27:73:98","47:11:ef:63:73:d4","802.11","1319","Aruba Management, SN=1153, FN=9, Flags=o.mP...."
"12","2023-03-21 23:00:38,454848","0c:fb:ef:e6:b2:a4","45:f9:27:4a:1c:e9","802.11","2107","Fragmented IEEE 802.11 frame"
"13","2023-03-21 23:00:38,476301","Raspberr_34:36:32","Broadcast","802.11","210","Probe Request, SN=51, FN=0, Flags=........, SSID=Wildcard (Broadcast)"
"14","2023-03-21 23:00:38,499307","Raspberr_34:36:32","Broadcast","802.11","210","Probe Request, SN=52, FN=0, Flags=........, SSID=Wildcard (Broadcast)"
"15","2023-03-21 23:00:38,543056","Raspberr_34:36:32","Broadcast","802.11","210","Probe Request, SN=54, FN=0, Flags=........, SSID=Wildcard (Broadcast)"
"16","2023-03-21 23:00:38,593767","7c:98:1a:8d:6b:c9","a3:6f:e5:e7:2c:6e","802.11","2395","QoS Data + CF-Poll, SN=3546, FN=15, Flags=op.PR..."
"17","2023-03-21 23:00:39,305884","","","802.11","1227","Unknown protocol version: 2[Malformed Packet]"
"18","2023-03-21 23:00:39,332496","","","802.11","59","Unknown protocol version: 2[Malformed Packet]"
"19","2023-03-21 23:00:39,523791","","","802.11","571","Unknown protocol version: 2[Malformed Packet]"
"20","2023-03-21 23:00:40,667520","3c:9b:ee:fa:a2:e4","3c:9b:ee:fa:a2:e4 (3c:9b:ee:fa:a2:e4) (SA)","802.11","3243","PV1 Reserved"
"21","2023-03-21 23:00:42,648333","","","802.11","1468","Unknown protocol version: 3[Malformed Packet]"
"22","2023-03-21 23:00:42,706145","AID 0x01c4","8d:74:28:f6:1e:bd (8d:74:28:f6:1e:bd) (DA)","802.11","2182","PV1 Extension (currently reserved)"
"23","2023-03-21 23:00:42,719091","AID 0x1679","22:40:47:87:1b:4f (22:40:47:87:1b:4f) (RA)","802.11","139","PV1 Extension (currently reserved)"
"24","2023-03-21 23:00:43,761574","SercommF_d1:8c:72","Broadcast","802.11","361","Beacon frame, SN=2258, FN=0, Flags=........, BI=100, SSID=""Livebox-61A0"""
"25","2023-03-21 23:00:44,021138","Raspberr_34:36:32","Broadcast","802.11","210","Probe Request, SN=74, FN=0, Flags=........, SSID=Wildcard (Broadcast)"
"26","2023-03-21 23:00:44,041356","Raspberr_34:36:32","Broadcast","802.11","210","Probe Request, SN=75, FN=0, Flags=........, SSID=Wildcard (Broadcast)"
"27","2023-03-21 23:00:44,193056","71:48:ce:d8:36:aa (71:48:ce:d8:36:aa) (TA)","3b:44:88:ff:5a:ee (3b:44:88:ff:5a:ee) (DA)","802.11","2011","PV1 Management[Malformed Packet]"
"28","2023-03-21 23:00:44,710633","AlticeLa_58:a1:00","Broadcast","802.11","427","Beacon frame, SN=2970, FN=0, Flags=........, BI=100, SSID=""SFR_A0FF"""
"29","2023-03-21 23:00:46,603823","cc:c1:bf:26:dd:04 (cc:c1:bf:26:dd:04) (TA)","ae:11:3d:6f:fb:f7 (ae:11:3d:6f:fb:f7) (RA)","802.11","988","PV1 QoS Data - no SIDs"
"30","2023-03-21 23:00:47,230524","96:c3:da:3f:73:56","Broadcast","802.11","83","Probe Request, SN=3519, FN=0, Flags=........, SSID=Wildcard (Broadcast)"
"31","2023-03-21 23:00:49,394022","Raspberr_34:36:32","Broadcast","802.11","210","Probe Request, SN=89, FN=0, Flags=........, SSID=Wildcard (Broadcast)"
"32","2023-03-21 23:00:49,417492","Raspberr_34:36:32","Broadcast","802.11","210","Probe Request, SN=90, FN=0, Flags=........, SSID=Wildcard (Broadcast)"
"33","2023-03-21 23:00:52,242032","","","802.11","2811","Unknown protocol version: 3[Malformed Packet]"
"34","2023-03-21 23:00:53,571581","15:7d:9f:a8:11:a4 (15:7d:9f:a8:11:a4) (TA)","69:c4:59:8f:b0:6c (69:c4:59:8f:b0:6c) (DA)","802.11","2427","PV1 QoS Data - with one SID"
"35","2023-03-21 23:00:54,958895","Raspberr_34:36:32","Broadcast","802.11","210","Probe Request, SN=113, FN=0, Flags=........, SSID=Wildcard (Broadcast)"
"36","2023-03-21 23:00:55,023725","Raspberr_34:36:32","Broadcast","802.11","210","Probe Request, SN=116, FN=0, Flags=........, SSID=Wildcard (Broadcast)"
"37","2023-03-21 23:00:55,043145","Raspberr_34:36:32","Broadcast","802.11","210","Probe Request, SN=117, FN=0, Flags=........, SSID=Wildcard (Broadcast)"
"38","2023-03-21 23:00:55,260771","Raspberr_34:36:32","Broadcast","802.11","210","Probe Request, SN=127, FN=0, Flags=........, SSID=Wildcard (Broadcast)"
"39","2023-03-21 23:00:55,283055","Raspberr_34:36:32","Broadcast","802.11","210","Probe Request, SN=128, FN=0, Flags=........, SSID=Wildcard (Broadcast)"
"40","2023-03-21 23:00:55,303411","Raspberr_34:36:32","Broadcast","802.11","210","Probe Request, SN=129, FN=0, Flags=........, SSID=Wildcard (Broadcast)"
"41","2023-03-21 23:00:55,458385","","","802.11","2891","Fragmented IEEE 802.11 frame"
"42","2023-03-21 23:00:56,916183","","","802.11","1851","Unknown protocol version: 3[Malformed Packet]"
"43","2023-03-21 23:00:57,260824","","","802.11","14","Beacon frame[Malformed Packet]"
"44","2023-03-21 23:00:58,835595","38:5c:2f:38:0e:77 (38:5c:2f:38:0e:77) (TA)","ba:0b:37:b7:68:ea (ba:0b:37:b7:68:ea) (RA)","802.11","2203","PV1 QoS Data - no SIDs"
"45","2023-03-21 23:01:00,375862","Raspberr_34:36:32","Broadcast","802.11","210","Probe Request, SN=130, FN=0, Flags=........, SSID=Wildcard (Broadcast)"
"46","2023-03-21 23:01:00,396483","Raspberr_34:36:32","Broadcast","802.11","210","Probe Request, SN=131, FN=0, Flags=........, SSID=Wildcard (Broadcast)"
"47","2023-03-21 23:01:00,419519","Raspberr_34:36:32","Broadcast","802.11","210","Probe Request, SN=132, FN=0, Flags=........, SSID=Wildcard (Broadcast)"
"48","2023-03-21 23:01:00,785063","Raspberr_34:36:32","Broadcast","802.11","210","Probe Request, SN=149, FN=0, Flags=........, SSID=Wildcard (Broadcast)"
"49","2023-03-21 23:01:00,828395","Raspberr_34:36:32","Broadcast","802.11","210","Probe Request, SN=151, FN=0, Flags=........, SSID=Wildcard (Broadcast)"
"50","2023-03-21 23:01:01,238321","","","802.11","1733","Fragmented IEEE 802.11 frame"
"51","2023-03-21 23:01:02,782078","","","802.11","539","Unknown protocol version: 2[Malformed Packet]"
